"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-02-13,2026-04-26,"트래픽 크루즈두번째 - 3",25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,8,1,,"광고 세트 예산 사용 중",0,78,2024-05-07,8,9750,,,,,0,0,0,,
2024-02-13,2026-04-26,"트래픽 크루즈두번째 - 4",25-34,archived,"클릭 후 7일 또는 조회 후 1일",1,actions:link_click,28,1.071429,450,"광고 세트 예산 사용 중",0,450,2024-05-07,30,15000,1,,450,3.333333,1,3.333333,450,,
2024-02-13,2026-04-26,위로얄동부,25-34,inactive,~,,,63,1.460317,,10000,"일일 예산",563,"진행 중",92,6119.565217,23,,24.478261,25,24,26.086957,23.458333,7,80.428571
2024-02-13,2026-04-26,아래금액,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,121,1.305785,,10000,"일일 예산",1861,"진행 중",158,11778.481013,57,,32.649123,36.075949,49,31.012658,37.979592,19,97.947368
2024-02-13,2026-04-26,사라광고캠페인,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,345,1.486957,,"광고 세트 예산 사용 중",0,12038,"진행 중",513,23465.88694,30,,401.266667,5.847953,32,6.237817,376.1875,21,573.238095
2024-02-13,2026-04-26,뉴사라광고,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1406,1.351351,,"광고 세트 예산 사용 중",0,29657,"진행 중",1900,15608.947368,139,,213.359712,7.315789,116,6.105263,255.663793,62,478.33871
2024-02-13,2026-04-26,"사라 MSC광고",25-34,inactive,"여러 기여 설정",50,actions:offsite_conversion.fb_pixel_lead,6808,1.908196,2537.7,"광고 세트 예산 사용 중",0,126885,"진행 중",12991,9767.146486,597,,212.537688,4.595489,656,5.04965,193.422256,524,242.146947
2024-02-13,2026-04-26,사라골드회원,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,348,1.204023,6057,"광고 세트 예산 사용 중",0,6057,"진행 중",419,14455.847255,19,,318.789474,4.534606,20,4.77327,302.85,,
2024-02-13,2026-04-26,사라2차회원,25-34,active,증가,32,actions:offsite_conversion.fb_pixel_lead,6328,2.102876,6719.8125,"광고 세트 예산 사용 중",0,215034,"진행 중",13307,16159.464943,597,,360.190955,4.486361,637,4.786954,337.572998,545,394.557798
2024-02-13,2026-04-26,100만원체험단지원,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1739,1.369753,,"광고 세트 예산 사용 중",0,70143,"진행 중",2382,29447.103275,96,,730.65625,4.030227,116,4.869857,604.681034,,
2024-02-13,2026-04-26,여행이조아서광고,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",4,actions:link_click,308,1.133117,503.5,"광고 세트 예산 사용 중",0,2014,"진행 중",349,5770.773639,4,,503.5,1.146132,7,2.005731,287.714286,,
2024-02-13,2026-04-26,3800크루즈테스트1,35-44,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,13504,1.513626,,"광고 세트 예산 사용 중",0,444124,2024-05-07,20440,21728.180039,1592,,278.972362,7.78865,1687,8.253425,263.262596,1334,332.926537
2024-02-13,2026-04-26,3050테스트,35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,92,1.021739,,"광고 세트 예산 사용 중",0,3400,2024-03-22,94,36170.212766,3,,1133.333333,3.191489,3,3.191489,1133.333333,2,1700
2024-02-13,2026-04-26,크루즈두번째,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",,,264,1.121212,,"광고 세트 예산 사용 중",0,10984,"진행 중",296,37108.108108,10,,1098.4,3.378378,12,4.054054,915.333333,7,1569.142857
2024-02-13,2026-04-26,"크루즈두번째 -2",35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,2068,1.649903,,"광고 세트 예산 사용 중",0,99677,2024-07-02,3412,29213.657679,132,,755.128788,3.868699,162,4.747948,615.290123,110,906.154545
2024-02-13,2026-04-26,"트래픽 크루즈두번째 - 3",35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,23,1.043478,,"광고 세트 예산 사용 중",0,309,2024-05-07,24,12875,,,,,0,0,0,,
2024-02-13,2026-04-26,"트래픽 크루즈두번째 - 4",35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,28,1,,"광고 세트 예산 사용 중",0,327,2024-05-07,28,11678.571429,,,,,0,0,0,,
2024-02-13,2026-04-26,위로얄동부,35-44,inactive,~,,,58,1.37931,,10000,"일일 예산",544,"진행 중",80,6800,14,,38.857143,17.5,13,16.25,41.846154,5,108.8
2024-02-13,2026-04-26,아래금액,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,161,1.254658,,10000,"일일 예산",2960,"진행 중",202,14653.465347,59,,50.169492,29.207921,52,25.742574,56.923077,21,140.952381
