"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-10-31,2026-04-26,7차픽셀가족육아캠핑,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,11,1,,"광고 세트 예산 사용 중",0,104,"진행 중",11,9454.545455,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,65+,inactive,"클릭 후 7일 또는 조회 후 1일",76,actions:offsite_conversion.fb_pixel_lead,944,1.146186,116.31578947,"광고 세트 예산 사용 중",0,8840,"진행 중",1082,8170.055453,77,,114.805195,7.116451,79,7.301294,111.898734,74,119.459459
2024-10-31,2026-04-26,광고소재합치기,65+,inactive,"클릭 후 7일 또는 조회 후 1일",1208,actions:offsite_conversion.fb_pixel_lead,4488,2.168226,70.28890728,"광고 세트 예산 사용 중",0,84909,"진행 중",9731,8725.619155,1535,,55.315309,15.774329,1515,15.568801,56.045545,945,89.850794
2024-10-31,2026-04-26,8번째3번광고소재부업으로,65+,inactive,"클릭 후 7일 또는 조회 후 1일",,,6,1,,"광고 세트 예산 사용 중",0,144,"진행 중",6,24000,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째3번광고핑거스냅,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,2,0
2024-10-31,2026-04-26,크루즈인솔자,Unknown,archived,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,2024-11-27,0,0,,,,,0,0,0,5,0
2024-10-31,2026-04-26,놀면서일하는영상,Unknown,archived,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,2024-11-27,0,0,,,,,0,0,0,1,0
2024-10-31,2026-04-26,세번째인솔자광고,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,2,0
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,1,0
2024-10-31,2026-04-26,광고소재합치기,Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,
