"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-07-17,2026-04-26,동부지중해위22만원,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_view_content,667,1.403298,14092,"광고 세트 예산 사용 중",0,14092,"진행 중",936,15055.555556,171,,82.409357,18.269231,167,17.84188,84.383234,106,132.943396
2024-07-17,2026-04-26,동부지중해아래22만원,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1022,1.483366,,"광고 세트 예산 사용 중",0,19592,"진행 중",1516,12923.48285,380,,51.557895,25.065963,266,17.546174,73.654135,240,81.633333
2024-07-17,2026-04-26,"월18만원 떠나는",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,188,1.159574,,"광고 세트 예산 사용 중",0,6874,"진행 중",218,31532.110092,11,,624.909091,5.045872,16,7.33945,429.625,9,763.777778
2024-07-17,2026-04-26,동유럽알래스카18만원선착순,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,207,1.149758,,"광고 세트 예산 사용 중",0,5132,"진행 중",238,21563.02521,16,,320.75,6.722689,17,7.142857,301.882353,12,427.666667
2024-07-17,2026-04-26,"올해마지막기회 동유럽",55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1820,1.851099,,"광고 세트 예산 사용 중",0,92193,"진행 중",3369,27365.0935,145,,635.813793,4.303948,231,6.856634,399.103896,126,731.690476
2024-07-17,2026-04-26,26년3월4일,55-64,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,610,1.54918,,"광고 세트 예산 사용 중",0,33420,"진행 중",945,35365.079365,77,,434.025974,8.148148,107,11.322751,312.336449,72,464.166667
2024-07-17,2026-04-26,이미지vip안마의자,65+,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,1144,1.361888,7558.2,"광고 세트 예산 사용 중",0,37791,"진행 중",1558,24256.097561,111,,340.459459,7.124519,124,7.958922,304.766129,100,377.91
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",65+,inactive,"클릭 후 7일 또는 조회 후 1일",283,actions:offsite_conversion.fb_pixel_lead,13632,3.532277,3679.3639576,"광고 세트 예산 사용 중",0,1041260,"진행 중",48152,21624.439276,6596,,157.862341,13.698289,7533,15.64421,138.22647,6036,172.508284
2024-07-17,2026-04-26,동영상vip안마의자,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,56,1.071429,,"광고 세트 예산 사용 중",0,4100,"진행 중",60,68333.333333,,,,,0,0,0,,
2024-07-17,2026-04-26,크루즈야인솔자,65+,inactive,"여러 기여 설정",,,140,1.4,,"광고 세트 예산 사용 중",0,7897,"진행 중",196,40290.816327,12,,658.083333,6.122449,18,9.183673,438.722222,11,717.909091
2024-07-17,2026-04-26,인솔자테스트,65+,inactive,"클릭 후 7일 또는 조회 후 1일",,,62,1.258065,,"광고 세트 예산 사용 중",0,3931,"진행 중",78,50397.435897,3,,1310.333333,3.846154,3,3.846154,1310.333333,,
2024-07-17,2026-04-26,인솔자테스트2,65+,inactive,"클릭 후 7일 또는 조회 후 1일",,,30,1.166667,,"광고 세트 예산 사용 중",0,1644,"진행 중",35,46971.428571,5,,328.8,14.285714,5,14.285714,328.8,,
2024-07-17,2026-04-26,"3차랜딩페이지 대한민국전체 복사",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,220,2.181818,5984.5,"광고 세트 예산 사용 중",0,11969,"진행 중",480,24935.416667,37,,323.486486,7.708333,41,8.541667,291.926829,32,374.03125
2024-07-17,2026-04-26,페리크루즈,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",6,actions:offsite_conversion.fb_pixel_lead,1050,2.144762,10106,"광고 세트 예산 사용 중",0,60636,"진행 중",2252,26925.399645,196,,309.367347,8.703375,200,8.880995,303.18,171,354.596491
2024-07-17,2026-04-26,"두번째4차 65만원 카피 25-07-05",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,40,1,,"광고 세트 예산 사용 중",0,713,"진행 중",40,17825,3,,237.666667,7.5,4,10,178.25,3,237.666667
2024-07-17,2026-04-26,피아노랜드광고,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,580,1.587931,,"광고 세트 예산 사용 중",0,27070,"진행 중",921,29391.965255,99,,273.434343,10.749186,125,13.572204,216.56,90,300.777778
2024-07-17,2026-04-26,"4차랜딩 2.5 버전",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,452,1.495575,,"광고 세트 예산 사용 중",0,21133,"진행 중",676,31261.83432,90,,234.811111,13.313609,95,14.053254,222.452632,69,306.275362
2024-07-17,2026-04-26,유럽럭셔리초특가,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",18,actions:offsite_conversion.fb_pixel_view_content,798,1.02381,454.83333333,"광고 세트 예산 사용 중",0,8187,"진행 중",817,10020.807834,23,,355.956522,2.815177,28,3.427173,292.392857,18,454.833333
2024-07-17,2026-04-26,"알차게 즐기는법",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",15,actions:offsite_conversion.fb_pixel_view_content,333,1.027027,163.8,"광고 세트 예산 사용 중",0,2457,"진행 중",342,7184.210526,9,,273,2.631579,10,2.923977,245.7,9,273
2024-07-17,2026-04-26,뷔폐코스요리무제한,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_view_content,687,1,2080,"광고 세트 예산 사용 중",0,4160,"진행 중",687,6055.312955,2,,2080,0.291121,4,0.582242,1040,2,2080
2024-07-17,2026-04-26,안전한갓성비크루즈,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",13,actions:offsite_conversion.fb_pixel_view_content,816,1.022059,347.15384615,"광고 세트 예산 사용 중",0,4513,"진행 중",834,5411.270983,15,,300.866667,1.798561,16,1.918465,282.0625,13,347.153846
2024-07-17,2026-04-26,동부지중해위22만원,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,357,1.344538,,"광고 세트 예산 사용 중",0,9605,"진행 중",480,20010.416667,100,,96.05,20.833333,104,21.666667,92.355769,68,141.25
2024-07-17,2026-04-26,동부지중해아래22만원,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_view_content,658,1.566869,15776,"광고 세트 예산 사용 중",0,15776,"진행 중",1031,15301.648885,264,,59.757576,25.606208,186,18.040737,84.817204,172,91.72093
2024-07-17,2026-04-26,"월18만원 떠나는",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,161,1.161491,,"광고 세트 예산 사용 중",0,6234,"진행 중",187,33336.898396,13,,479.538462,6.951872,20,10.695187,311.7,9,692.666667
2024-07-17,2026-04-26,동유럽알래스카18만원선착순,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,223,1.197309,,"광고 세트 예산 사용 중",0,8296,"진행 중",267,31071.161049,24,,345.666667,8.988764,33,12.359551,251.393939,14,592.571429
2024-07-17,2026-04-26,"올해마지막기회 동유럽",65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1362,1.985316,,"광고 세트 예산 사용 중",0,94121,"진행 중",2704,34808.06213,150,,627.473333,5.547337,213,7.877219,441.882629,131,718.480916
2024-07-17,2026-04-26,26년3월4일,65+,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,554,1.884477,,"광고 세트 예산 사용 중",0,48312,"진행 중",1044,46275.862069,87,,555.310345,8.333333,120,11.494253,402.6,77,627.428571
2024-07-17,2026-04-26,"3차 랜딩 65만원 카피",Unknown,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,0,0,0,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,38,0
2024-07-17,2026-04-26,크루즈야인솔자,Unknown,inactive,"여러 기여 설정",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,2,0
2024-07-17,2026-04-26,"3차랜딩페이지 대한민국전체 복사",Unknown,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,4,0
2024-07-17,2026-04-26,페리크루즈,Unknown,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,1,0
